52630,615164,13174,50828,52630,615164,13174,50828
94080,1228968,29644,91120,41450,613804,16470,40292
135538,1848368,46112,131186,41458,619400,16468,40066
170376,2463480,59288,170018,34836,615112,13176,38832
211850,3077260,75758,210294,41474,613780,16470,40276
246796,3697872,88934,249592,34946,620612,13176,39298
288246,4311702,105404,289660,41450,613830,16470,40068
329700,4925502,121874,329928,41454,613800,16470,40268
364656,5546092,135046,369232,34956,620590,13172,39304
406048,6159950,151516,408814,41392,613858,16470,39582
