"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.496527
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.500485
"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.503624
"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.506602
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.509849
"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.512762
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.515951
"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.518850
"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.521762
"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.524583
"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.527310
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.530337
"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.533032
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.535917
"Data send=>$,1.3,1.9,1.10,1.14",2018-08-12 01:21:05.538473
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.541372
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.544230
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.546988
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.549741
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.552436
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.555089
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.557697
"$,1.3,1.9,1.10,1.14 and Seq Number = 0",2018-08-12 01:21:05.560419
1.14,3230,1,1,2018-08-12 01:23:50.725026
1.3,3273,1,1,2018-08-12 01:23:51.081193
1.9,3250,1,1,2018-08-12 01:23:52.324855
1.3,3273,1,2,2018-08-12 01:26:51.315744
1.14,3230,1,2,2018-08-12 01:26:53.956472
1.10,3273,1,2,2018-08-12 01:26:54.454640
1.9,3250,1,2,2018-08-12 01:26:54.934087
1.9,3250,1,3,2018-08-12 01:29:55.548666
1.10,3273,1,3,2018-08-12 01:29:56.186928
1.4,3250,2,1,2018-08-12 01:30:51.366243
1.12,3203,2,1,2018-08-12 01:30:52.286554
1.2,3250,2,1,2018-08-12 01:30:52.568629
1.8,3273,2,1,2018-08-12 01:30:52.658513
1.16,3273,2,1,2018-08-12 01:30:53.147077
1.4,3250,2,1,2018-08-12 01:30:53.333227
1.2,3250,2,1,2018-08-12 01:30:55.687997
1.14,3230,1,4,2018-08-12 01:32:50.854911
1.14,3230,1,4,2018-08-12 01:32:52.979854
1.14,3230,1,4,2018-08-12 01:32:54.048168
1.9,3250,1,4,2018-08-12 01:32:57.104363
1.10,3273,1,4,2018-08-12 01:32:57.793122
1.9,3250,1,4,2018-08-12 01:32:58.104159
1.9,3250,1,4,2018-08-12 01:32:59.027416
1.14,3230,1,5,2018-08-12 01:35:50.775062
1.3,3273,1,5,2018-08-12 01:35:51.767064
1.10,3273,1,5,2018-08-12 01:36:02.524380
1.14,3230,1,6,2018-08-12 01:38:50.700176
1.14,3230,1,6,2018-08-12 01:38:51.738511
1.3,3273,1,6,2018-08-12 01:38:51.945828
1.3,3273,1,6,2018-08-12 01:38:52.946603
1.3,3273,1,6,2018-08-12 01:38:53.947476
1.9,3250,1,6,2018-08-12 01:39:00.244023
1.10,3273,1,6,2018-08-12 01:39:01.005839
1.10,3273,1,6,2018-08-12 01:39:03.068047
1.12,3203,2,2,2018-08-12 01:40:51.735709
1.4,3250,2,2,2018-08-12 01:40:51.957698
1.4,3250,2,2,2018-08-12 01:40:53.028557
1.16,3273,2,2,2018-08-12 01:40:53.244263
1.19,3273,2,2,2018-08-12 01:40:53.358537
1.18,3250,2,2,2018-08-12 01:40:54.505508
1.8,3273,2,2,2018-08-12 01:40:54.581143
1.2,3250,2,2,2018-08-12 01:40:55.252629
1.14,3230,1,7,2018-08-12 01:41:50.739307
1.3,3273,1,7,2018-08-12 01:41:51.984852
1.9,3250,1,7,2018-08-12 01:42:01.851747
1.10,3273,1,7,2018-08-12 01:42:03.676226
1.3,3230,1,8,2018-08-12 01:44:54.218512
1.9,3250,1,8,2018-08-12 01:45:03.461223
1.10,3230,1,8,2018-08-12 01:45:05.354829
1.14,3230,1,9,2018-08-12 01:47:50.645178
1.14,3230,1,9,2018-08-12 01:47:51.701251
1.3,3230,1,9,2018-08-12 01:47:52.395749
1.3,3230,1,9,2018-08-12 01:47:53.395392
1.3,3230,1,9,2018-08-12 01:47:54.452616
1.9,3250,1,9,2018-08-12 01:48:05.143585
1.9,3250,1,9,2018-08-12 01:48:06.070712
1.10,3273,1,9,2018-08-12 01:48:06.824520
1.14,3230,1,10,2018-08-12 01:50:50.680973
1.16,3230,2,3,2018-08-12 01:50:51.025897
1.19,3230,2,3,2018-08-12 01:50:52.805622
1.4,3250,2,3,2018-08-12 01:50:53.627751
1.19,3230,2,3,2018-08-12 01:50:53.805145
1.4,3250,2,3,2018-08-12 01:50:54.727206
1.3,3273,1,10,2018-08-12 01:50:55.686361
1.19,3230,2,3,2018-08-12 01:50:55.928562
1.2,3250,2,3,2018-08-12 01:50:56.003012
1.7,3230,2,3,2018-08-12 01:50:56.182188
1.8,3230,2,3,2018-08-12 01:50:56.627673
1.2,3250,2,3,2018-08-12 01:50:57.067163
1.8,3230,2,3,2018-08-12 01:50:57.626261
1.8,3230,2,3,2018-08-12 01:50:58.624315
1.9,3250,1,10,2018-08-12 01:51:07.678717
1.10,3230,1,10,2018-08-12 01:51:08.558236
1.10,3230,1,10,2018-08-12 01:51:10.555506
1.14,3230,1,11,2018-08-12 01:53:50.663663
1.3,3230,1,11,2018-08-12 01:53:52.609552
1.3,3230,1,11,2018-08-12 01:53:53.609377
1.3,3230,1,11,2018-08-12 01:53:54.670429
1.9,3250,1,11,2018-08-12 01:54:08.287198
1.10,3230,1,11,2018-08-12 01:54:09.234417
1.14,3230,1,12,2018-08-12 01:56:50.719188
1.14,3230,1,12,2018-08-12 01:56:51.718865
1.9,3250,1,12,2018-08-12 01:57:09.772182
1.10,3230,1,12,2018-08-12 01:57:11.893137
1.14,3230,1,13,2018-08-12 01:59:50.751354
1.3,3230,1,13,2018-08-12 01:59:52.889015
1.9,3250,1,13,2018-08-12 02:00:11.379894
1.10,3230,1,13,2018-08-12 02:00:12.499259
