42430,625304,4026,16002,42430,625304,4026,16002
71332,1251762,12078,24846,28902,626458,8052,8844
100240,1878214,20130,33642,28908,626452,8052,8796
129156,2504658,28182,42428,28916,626444,8052,8786
158068,3131106,36234,51252,28912,626448,8052,8824
186986,3757548,44286,60038,28918,626442,8052,8786
215904,4383992,52338,68878,28918,626444,8052,8840
244824,5010430,60390,77708,28920,626438,8052,8830
273740,5636874,68442,86536,28916,626444,8052,8828
302654,6263320,76494,95356,28914,626446,8052,8820
331644,6889690,84546,104566,28990,626370,8052,9210
360566,7516128,92598,113412,28922,626438,8052,8846
