<<<<<<<============************************====================>>>>>>>>>
	 	    Developed by:
	Prof. Chiranjeev Kumar, Prof. Haider Banka
		   Himanshu Ranjan Seth
	 Department of Computer Science & Engg.,
	 INDIAN INSTITUTE OF TECHNOLOGY, Dhanbad
<<<<<<<============************************====================>>>>>>>>>
IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes
 Net: Rime
 MAC: nullmac
 RDC: ContikiMAC
 RADIO: IEEE802.15.4
 Channel Check Interval: 16 ticks
PAN ID 0x0000
""
 RF: Channel 25
 TX: Power 5
 Node ID: 288
<<<<<<<============************************====================>>>>>>>>>
	 	    Developed by:
	Prof. Chiranjeev Kumar, Prof. Haider Banka
		   Himanshu Ranjan Seth
	 Department of Computer Science & Engg.,
	 INDIAN INSTITUTE OF TECHNOLOGY, Dhanbad
<<<<<<<============************************====================>>>>>>>>>
IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes
 Net: Rime
 MAC: nullmac
 RDC: ContikiMAC
 RADIO: IEEE802.15.4
 Channel Check Interval: 16 ticks
PAN ID 0x0000
""
 RF: Channel 25
 TX: Power 5
 Node ID: 288
<<<<<<<============************************====================>>>>>>>>>
	 	    Developed by:
	Prof. Chiranjeev Kumar, Prof. Haider Banka
		   Himanshu Ranjan Seth
	 Department of Computer Science & Engg.,
	 INDIAN INSTITUTE OF TECHNOLOGY, Dhanbad
<<<<<<<============************************====================>>>>>>>>>
IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes
 Net: Rime
 MAC: nullmac
 RDC: ContikiMAC
 RADIO: IEEE802.15.4
 Channel Check Interval: 16 ticks
PAN ID 0x0000
""
 RF: Channel 25
 TX: Power 5
 Node ID: 288
75702,600422,36234,23864,75702,600422,36234,23864
129146,1193946,68442,38434,53444,593524,32208,14570
187070,1791382,104676,55170,57924,597436,36234,16736
244894,2388918,140910,70810,57824,597536,36234,15640
302718,2986454,177144,86430,57824,597536,36234,15620
360616,3583916,213378,102458,57898,597462,36234,16028
418450,4181442,249612,118088,57834,597526,36234,15630
476282,4778970,285846,133724,57832,597528,36234,15636
534100,5377222,322080,149340,57818,598252,36234,15616
587804,5978168,354288,163996,53704,600946,32208,14656
645586,6575746,390522,179962,57782,597578,36234,15966
703416,7173276,426756,195606,57830,597530,36234,15644
761244,7770808,462990,211238,57828,597532,36234,15632
819146,8368266,499224,227252,57902,597458,36234,16014
876980,8965792,535458,242900,57834,597526,36234,15648
934814,9563318,571692,258528,57834,597526,36234,15628
992654,10160838,607926,274154,57840,597520,36234,15626
1050470,10759604,644160,289784,57816,598766,36234,15630
1104130,11360082,676368,304794,53660,600478,32208,15010
1161974,11957598,712602,320424,57844,597516,36234,15630
1219826,12555108,748836,336070,57852,597510,36234,15646
1277676,13152616,785070,351722,57850,597508,36234,15652
1335518,13750134,821304,367352,57842,597518,36234,15630
1393370,14347642,857538,382972,57852,597508,36234,15620
1451248,14945124,893772,399316,57878,597482,36234,16344
1509092,15542642,930006,414940,57844,597518,36234,15624
1566918,16141396,966240,430558,57826,598754,36234,15618
1620618,16741834,998448,445214,53700,600438,32208,14656
1678422,17339392,1034682,461216,57804,597558,36234,16002
1736276,17936896,1070916,476862,57854,597504,36234,15646
1794076,18534616,1107150,492840,57800,597720,36234,15978
1851926,19131966,1143384,508470,57850,597350,36234,15630
1909778,19729474,1179618,524108,57852,597508,36234,15638
1967546,20327066,1215852,540096,57768,597592,36234,15988
2025252,20924704,1252086,555706,57706,597638,36234,15610
2082952,21524114,1288320,571324,57700,599410,36234,15618
2136534,22124158,1320528,585980,53582,600044,32208,14656
2194312,22721740,1356762,601980,57778,597582,36234,16000
2252018,23319394,1392996,617586,57706,597654,36234,15606
2309700,23917072,1429230,633564,57682,597678,36234,15978
2366332,24515800,1465464,648828,56632,598728,36234,15264
2422972,25114520,1501698,664106,56640,598720,36234,15278
2479594,25713258,1537932,679364,56622,598738,36234,15258
2536220,26311860,1574166,694648,56626,598602,36234,15284
2593036,26912782,1610400,710346,56816,600922,36234,15698
2645498,27513434,1642608,724618,52462,600652,32208,14272
2702016,28112276,1678842,739824,56518,598842,36234,15206
2758644,28711008,1715076,755086,56628,598732,36234,15262
2815356,29309656,1751310,770732,56712,598648,36234,15646
2871988,29908384,1787544,786000,56632,598728,36234,15268
2928614,30507118,1823778,801262,56626,598734,36234,15262
2985314,31105778,1860012,816916,56700,598660,36234,15654
3041900,31704420,1896246,832516,56586,598642,36234,15600
<<<<<<<============************************====================>>>>>>>>>
	 	    Developed by:
	Prof. Chiranjeev Kumar, Prof. Haider Banka
		   Himanshu Ranjan Seth
	 Department of Computer Science & Engg.,
	 INDIAN INSTITUTE OF TECHNOLOGY, Dhanbad
<<<<<<<============************************====================>>>>>>>>>
IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes
 Net: Rime
 MAC: nullmac
 RDC: ContikiMAC
 RADIO: IEEE802.15.4
 Channel Check Interval: 16 ticks
PAN ID 0x0000
""
 RF: Channel 25
 TX: Power 5
 Node ID: 288
75666,600460,36234,24188,75666,600460,36234,24188
129164,1193930,68442,39150,53498,593470,32208,14962
